surrogate,mean_cka,dbs,macro_mean_transfer,macro_min_transfer,macro_max_transfer,total_successful,total_target_benign,pooled_target_benign_rate,similarity_group
bilstm-attention,0.25871896606466466,0.25871896606466466,0.1752838286577085,0.11392405063291139,0.2773109243697479,658,111,0.16869300911854104,M2
deberta-base-pi-v1,0.329011060483958,0.5116043897764262,0.34539311694480757,0.26506024096385544,0.4444444444444444,320,111,0.346875,M2
llama-prompt-guard-22m,0.4123087022398452,0.5849065485835402,0.051050072408211945,0.031007751937984496,0.06349206349206349,626,32,0.051118210862619806,M2
llama-prompt-guard-86m,0.4169064105029701,0.5656751756015568,0.17711537358247426,0.10588235294117647,0.24793388429752067,596,107,0.17953020134228187,middle
roberta-base-ft,0.4284723991738573,0.6293337763511132,0.5416740988480119,0.375,0.7111111111111111,418,214,0.5119617224880383,middle
electra-small-ft,0.4295596540530011,0.554979968918018,0.5443940664974856,0.2826086956521739,0.7777777777777778,278,154,0.5539568345323741,middle
bert-base-ft,0.4450094194724594,0.6247945268997297,0.4449768967416026,0.2037037037037037,0.6235294117647059,377,170,0.4509283819628647,middle
deberta-small-pi-v2,0.451372545278504,0.611447851817069,0.33792998550618536,0.21052631578947367,0.45323741007194246,652,226,0.34662576687116564,M1
deepset-deberta-injection,0.4542644298102016,0.5925868661068476,0.556989247311828,0.3333333333333333,0.8181818181818182,132,75,0.5681818181818182,M1
deberta-base-ft-seed,0.4754217532198447,0.7047500471308572,0.6468421052631579,0.5526315789473685,0.7142857142857143,305,198,0.6491803278688525,M1
