surrogate,recipe,source_successful,target_original_benign,target_original_injection,target_perturbed_benign,true_target_flips,conditional_target_benign_rate,true_target_flip_rate,mean_cka,dbs
bert-base-ft,bae,85,12,73,53,41,0.6235294117647059,0.5616438356164384,0.4450094194724594,0.6247945268997297
bert-base-ft,bert-attack,102,15,87,40,25,0.39215686274509803,0.28735632183908044,0.4450094194724594,0.6247945268997297
bert-base-ft,deepwordbug,54,7,47,11,5,0.2037037037037037,0.10638297872340426,0.4450094194724594,0.6247945268997297
bert-base-ft,pwws,52,10,42,30,20,0.5769230769230769,0.47619047619047616,0.4450094194724594,0.6247945268997297
bert-base-ft,textfooler,84,15,69,36,22,0.42857142857142855,0.3188405797101449,0.4450094194724594,0.6247945268997297
bilstm-attention,bae,119,11,108,33,23,0.2773109243697479,0.21296296296296297,0.25871896606466466,0.25871896606466466
bilstm-attention,bert-attack,152,14,138,23,9,0.1513157894736842,0.06521739130434782,0.25871896606466466,0.25871896606466466
bilstm-attention,deepwordbug,89,10,79,17,8,0.19101123595505617,0.10126582278481013,0.25871896606466466,0.25871896606466466
bilstm-attention,pwws,140,9,131,20,11,0.14285714285714285,0.08396946564885496,0.25871896606466466,0.25871896606466466
bilstm-attention,textfooler,158,15,143,18,5,0.11392405063291139,0.03496503496503497,0.25871896606466466,0.25871896606466466
deberta-base-ft-seed,bae,70,10,60,48,39,0.6857142857142857,0.65,0.4754217532198447,0.7047500471308572
deberta-base-ft-seed,bert-attack,95,17,78,60,43,0.631578947368421,0.5512820512820513,0.4754217532198447,0.7047500471308572
deberta-base-ft-seed,deepwordbug,38,10,28,21,11,0.5526315789473685,0.39285714285714285,0.4754217532198447,0.7047500471308572
deberta-base-ft-seed,pwws,42,9,33,30,21,0.7142857142857143,0.6363636363636364,0.4754217532198447,0.7047500471308572
deberta-base-ft-seed,textfooler,60,13,47,39,26,0.65,0.5531914893617021,0.4754217532198447,0.7047500471308572
deberta-base-pi-v1,bae,62,4,58,26,22,0.41935483870967744,0.3793103448275862,0.329011060483958,0.5116043897764262
deberta-base-pi-v1,bert-attack,83,4,79,22,18,0.26506024096385544,0.22784810126582278,0.329011060483958,0.5116043897764262
deberta-base-pi-v1,deepwordbug,48,4,44,13,9,0.2708333333333333,0.20454545454545456,0.329011060483958,0.5116043897764262
deberta-base-pi-v1,pwws,72,4,68,32,28,0.4444444444444444,0.4117647058823529,0.329011060483958,0.5116043897764262
deberta-base-pi-v1,textfooler,55,4,51,18,14,0.32727272727272727,0.27450980392156865,0.329011060483958,0.5116043897764262
deberta-small-pi-v2,bae,139,2,137,63,61,0.45323741007194246,0.44525547445255476,0.451372545278504,0.611447851817069
deberta-small-pi-v2,bert-attack,152,2,150,50,48,0.32894736842105265,0.32,0.451372545278504,0.611447851817069
deberta-small-pi-v2,deepwordbug,95,2,93,20,18,0.21052631578947367,0.1935483870967742,0.451372545278504,0.611447851817069
deberta-small-pi-v2,pwws,137,1,136,53,52,0.38686131386861317,0.38235294117647056,0.451372545278504,0.611447851817069
deberta-small-pi-v2,textfooler,129,2,127,40,38,0.31007751937984496,0.2992125984251969,0.451372545278504,0.611447851817069
deepset-deberta-injection,bae,44,2,42,30,28,0.6818181818181818,0.6666666666666666,0.4542644298102016,0.5925868661068476
deepset-deberta-injection,bert-attack,40,4,36,20,16,0.5,0.4444444444444444,0.4542644298102016,0.5925868661068476
deepset-deberta-injection,deepwordbug,6,0,6,2,2,0.3333333333333333,0.3333333333333333,0.4542644298102016,0.5925868661068476
deepset-deberta-injection,pwws,11,0,11,9,9,0.8181818181818182,0.8181818181818182,0.4542644298102016,0.5925868661068476
deepset-deberta-injection,textfooler,31,2,29,14,12,0.45161290322580644,0.41379310344827586,0.4542644298102016,0.5925868661068476
electra-small-ft,bae,54,6,48,42,36,0.7777777777777778,0.75,0.4295596540530011,0.554979968918018
electra-small-ft,bert-attack,66,11,55,39,28,0.5909090909090909,0.509090909090909,0.4295596540530011,0.554979968918018
electra-small-ft,deepwordbug,46,7,39,13,7,0.2826086956521739,0.1794871794871795,0.4295596540530011,0.554979968918018
electra-small-ft,pwws,53,6,47,28,22,0.5283018867924528,0.46808510638297873,0.4295596540530011,0.554979968918018
electra-small-ft,textfooler,59,10,49,32,22,0.5423728813559322,0.4489795918367347,0.4295596540530011,0.554979968918018
llama-prompt-guard-22m,bae,125,2,123,7,5,0.056,0.04065040650406504,0.4123087022398452,0.5849065485835402
llama-prompt-guard-22m,bert-attack,129,3,126,4,1,0.031007751937984496,0.007936507936507936,0.4123087022398452,0.5849065485835402
llama-prompt-guard-22m,deepwordbug,117,3,114,5,2,0.042735042735042736,0.017543859649122806,0.4123087022398452,0.5849065485835402
llama-prompt-guard-22m,pwws,126,3,123,8,5,0.06349206349206349,0.04065040650406504,0.4123087022398452,0.5849065485835402
llama-prompt-guard-22m,textfooler,129,3,126,8,5,0.06201550387596899,0.03968253968253968,0.4123087022398452,0.5849065485835402
llama-prompt-guard-86m,bae,104,2,102,19,17,0.18269230769230768,0.16666666666666666,0.4169064105029701,0.5656751756015568
llama-prompt-guard-86m,bert-attack,161,7,154,24,17,0.14906832298136646,0.11038961038961038,0.4169064105029701,0.5656751756015568
llama-prompt-guard-86m,deepwordbug,85,1,84,9,8,0.10588235294117647,0.09523809523809523,0.4169064105029701,0.5656751756015568
llama-prompt-guard-86m,pwws,121,4,117,30,26,0.24793388429752067,0.2222222222222222,0.4169064105029701,0.5656751756015568
llama-prompt-guard-86m,textfooler,125,6,119,25,19,0.2,0.15966386554621848,0.4169064105029701,0.5656751756015568
roberta-base-ft,bae,90,11,79,64,53,0.7111111111111111,0.6708860759493671,0.4284723991738573,0.6293337763511132
roberta-base-ft,bert-attack,117,18,99,55,37,0.4700854700854701,0.37373737373737376,0.4284723991738573,0.6293337763511132
roberta-base-ft,deepwordbug,23,8,15,15,7,0.6521739130434783,0.4666666666666667,0.4284723991738573,0.6293337763511132
roberta-base-ft,pwws,76,11,65,38,27,0.5,0.4153846153846154,0.4284723991738573,0.6293337763511132
roberta-base-ft,textfooler,112,17,95,42,26,0.375,0.2736842105263158,0.4284723991738573,0.6293337763511132
