surrogate,mean_cka,dbs
deberta-base-ft-seed,0.47930065911830155,0.7065807506690068
deepset-deberta-injection,0.46083286349631414,0.5993208896006265
deberta-small-pi-v2,0.4536551623872466,0.6143107454504781
bert-base-ft,0.44421567389140476,0.6214254806766296
roberta-base-ft,0.42752519213325335,0.6266518569117444
electra-small-ft,0.42616286833520606,0.5492124520062878
llama-prompt-guard-86m,0.42060680919363874,0.5698426209230848
llama-prompt-guard-22m,0.41418179656751314,0.5812674022592285
deberta-base-pi-v1,0.32021785163751904,0.49875960560462784
bilstm-attention,0.26429109822374436,0.26429109822374436
